target,include,include_display,resolved,occurrences,including_files,including_file_count,recursive_include_count,transitive_loc,total_cost,internal_includer_count
fmt,algorithm,algorithm,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format-inl.h,1,,,,1
fmt,bit,bit,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,cerrno,cerrno,False,2,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format-inl.h|subprojects/tools/subprojects/fmt-12.0.0/include/fmt/os.h,2,,,,2
fmt,climits,climits,False,2,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format-inl.h|subprojects/tools/subprojects/fmt-12.0.0/src/os.cc,2,,,,2
fmt,cmath,cmath,False,2,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format-inl.h|subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,2,,,,2
fmt,cstddef,cstddef,False,2,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h|subprojects/tools/subprojects/fmt-12.0.0/include/fmt/os.h,2,,,,2
fmt,cstdint,cstdint,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,cstdio,cstdio,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/os.h,1,,,,1
fmt,cstdlib,cstdlib,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,cstring,cstring,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,exception,exception,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format-inl.h,1,,,,1
fmt,fcntl.h,fcntl.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/os.h,1,,,,1
fmt,intrin.h,intrin.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,io.h,io.h,False,2,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format-inl.h|subprojects/tools/subprojects/fmt-12.0.0/src/os.cc,2,,,,2
fmt,ioLib.h,ioLib.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/src/os.cc,1,,,,1
fmt,limits,limits,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,limits.h,limits.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/base.h,1,,,,1
fmt,locale,locale,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format-inl.h,1,,,,1
fmt,memory,memory,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,new,new,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,stdexcept,stdexcept,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,stdio.h,stdio.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/base.h,1,,,,1
fmt,string,string,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,string.h,string.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/base.h,1,,,,1
fmt,string_view,string_view,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h,1,,,,1
fmt,sys/stat.h,sys/stat.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/src/os.cc,1,,,,1
fmt,sys/types.h,sys/types.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/src/os.cc,1,,,,1
fmt,system_error,system_error,False,2,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/format.h|subprojects/tools/subprojects/fmt-12.0.0/include/fmt/os.h,2,,,,2
fmt,type_traits,type_traits,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/base.h,1,,,,1
fmt,unistd.h,unistd.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/src/os.cc,1,,,,1
fmt,winapifamily.h,winapifamily.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/os.h,1,,,,1
fmt,windows.h,windows.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/src/os.cc,1,,,,1
fmt,xlocale.h,xlocale.h,False,1,subprojects/tools/subprojects/fmt-12.0.0/include/fmt/os.h,1,,,,1
basic_test,AfxWin.h,AfxWin.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,TargetConditionals.h,TargetConditionals.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,algorithm,algorithm,False,22,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,android/log.h,android/log.h,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,array,array,False,2,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/test.cpp,2,,,,2
basic_test,atomic,atomic,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,cassert,cassert,False,16,subprojects/tools/subprojects/magic_enum-0.9.7/include/magic_enum/magic_enum.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,2,,,,2
basic_test,cctype,cctype,False,4,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp|subprojects/tools/subprojects/magic_enum-0.9.7/test/test.cpp,2,,,,2
basic_test,cerrno,cerrno,False,1,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
basic_test,cfloat,cfloat,False,3,subprojects/tools/subprojects/magic_enum-0.9.7/test/3rdparty/Catch2/include/catch2/catch.hpp,1,,,,1
